da,rg,c,ct,d,dt
2020-11-13,East Midlands,2383,108653,null,null
2020-11-12,East Midlands,3428,null,14,4562
2020-11-11,East Midlands,1598,null,20,4548
2020-11-10,East Midlands,2710,null,34,4528
2020-11-09,East Midlands,2351,null,51,4494
2020-11-08,East Midlands,2175,null,38,4443
2020-11-07,East Midlands,2157,null,29,4405
2020-11-06,East Midlands,2113,null,32,4376
2020-11-05,East Midlands,2172,null,33,4344
2020-11-04,East Midlands,1875,null,40,4311
2020-11-03,East Midlands,1695,null,29,4271
2020-11-02,East Midlands,1542,null,43,4242
2020-11-01,East Midlands,2310,null,34,4199
2020-10-31,East Midlands,2231,null,28,4165
2020-10-30,East Midlands,2015,null,30,4137
2020-10-29,East Midlands,2060,null,23,4107
2020-10-28,East Midlands,1906,null,34,4084
2020-10-27,East Midlands,1835,null,28,4050
2020-10-26,East Midlands,1928,null,24,4022
2020-10-25,East Midlands,1756,null,27,3998
2020-10-24,East Midlands,2134,null,23,3971
2020-10-23,East Midlands,1793,null,31,3948
2020-10-22,East Midlands,1850,null,30,3917
2020-10-21,East Midlands,1949,null,17,3887
2020-10-20,East Midlands,1935,null,19,3870
2020-10-19,East Midlands,1952,null,12,3851
2020-10-18,East Midlands,1510,null,8,3839
2020-10-17,East Midlands,1234,null,19,3831
2020-10-16,East Midlands,658,null,12,3812
2020-10-15,East Midlands,1999,null,15,3800
2020-10-14,East Midlands,1876,null,12,3785
2020-10-13,East Midlands,1541,null,15,3773
2020-10-12,East Midlands,1340,null,10,3758
2020-10-11,East Midlands,1141,null,13,3748
2020-10-10,East Midlands,1177,null,7,3735
2020-10-09,East Midlands,1397,null,8,3728
2020-10-08,East Midlands,1853,null,2,3720
2020-10-07,East Midlands,931,null,6,3718
2020-10-06,East Midlands,888,null,7,3712
2020-10-05,East Midlands,712,null,7,3705
2020-10-04,East Midlands,1935,null,9,3698
2020-10-03,East Midlands,800,null,12,3689
2020-10-02,East Midlands,389,null,7,3677
2020-10-01,East Midlands,428,null,8,3670
2020-09-30,East Midlands,315,null,6,3662
2020-09-29,East Midlands,349,null,4,3656
2020-09-28,East Midlands,222,null,6,3652
2020-09-27,East Midlands,253,null,6,3646
2020-09-26,East Midlands,295,null,2,3640
